MLM15569488,Mercado Libre,2023-06-04 10:42:44.515542,7199,Colchón Luuna memory foam individual hecho en méxico,Stock disponible,Luuna,Original,1 plaza
MLM15569489,Mercado Libre,2023-06-04 10:42:44.929175,9339,"Colchón Luuna Memory Foam, Matrimonial - Hecho En México",Stock disponible,Luuna,Original,Matrimonial
MLM12242066,Mercado Libre,2023-06-04 10:42:45.497769,11039,"Colchón Luuna Memory Foam, Queen Size - Hecho En México",Disponible 10 días después de tu compra,Luuna,Original,Queen
MLM12242062,Mercado Libre,2023-06-04 10:42:46.011518,31999,Colchón King de espuma Luuna Original - 190cm x 200cm x 24cm,Disponible 20 días después de tu compra,Luuna,Original,King
